Teuerung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STTE;I;I;I;I;I;I;II;II;II;II;II;II;III;III;III;III;III;III;IV;IV;IV;IV;IV;IV;V;V;V;V;V;V;VI;VI;VI;VI;VI;VI;Total;Total;Total;Total;Total;Total
ZI;1;2;3;4;5;Total;1;2;3;4;5;Total;1;2;3;4;5;Total;1;2;3;4;5;Total;1;2;3;4;5;Total;1;2;3;4;5;Total;1;2;3;4;5;Total
2004;-0.0015;0.35%;-1.30%;1.22%;-0.11%;-0.07%;-0.40%;3.02%;1.13%;0.03%;2.82%;0.84%;-0.01%;0.47%;-0.71%;-0.77%;-0.59%;-0.40%;0.34%;-0.58%;-2.05%;-0.52%;0.43%;-0.60%;-1.48%;0.38%;0.64%;-0.65%;-1.29%;-0.16%;-0.85%;0.98%;1.72%;0.11%;3.66%;0.81%;-0.70%;0.65%;0.23%;-0.49%;0.87%;0.03%
2005;5.95%;0.43%;1.31%;1.15%;3.81%;2.17%;1.16%;-0.07%;0.46%;0.76%;-2.72%;0.81%;-0.53%;2.13%;1.03%;0.81%;-0.84%;1.26%;0.93%;3.43%;-0.14%;0.51%;1.29%;0.63%;0.56%;0.39%;1.27%;-0.16%;-1.36%;0.57%;1.86%;0.28%;-0.23%;0.54%;6.72%;0.40%;0.69%;0.71%;0.83%;0.57%;1.14%;0.88%
2006;-1.23%;-3.38%;3.51%;2.26%;0.22%;2.52%;3.29%;3.04%;0.97%;0.52%;0.81%;1.67%;0.15%;1.78%;2.85%;1.19%;0.56%;2.83%;2.02%;0.75%;2.87%;1.15%;1.18%;1.88%;1.27%;0.65%;1.04%;1.25%;0.18%;1.63%;1.64%;1.67%;1.79%;0.35%;0.78%;1.53%;2.01%;1.64%;1.90%;1.19%;1.19%;1.92%
2007;2.70%;1.63%;1.22%;3.12%;-0.60%;1.06%;1.37%;2.64%;1.26%;1.20%;0.29%;1.74%;1.35%;3.70%;1.42%;2.57%;-1.36%;2.33%;1.41%;1.44%;2.88%;1.04%;3.43%;1.75%;1.28%;2.78%;3.00%;0.97%;1.19%;2.62%;0.42%;-0.40%;4.95%;3.01%;-1.26%;2.20%;1.18%;2.24%;2.31%;1.90%;0.92%;2.09%
2008;2.09%;1.24%;-3.80%;-7.95%;0.28%;0.61%;2.89%;3.09%;4.69%;1.28%;0.72%;3.74%;1.81%;4.14%;2.46%;2.98%;3.58%;3.08%;-0.89%;4.02%;1.04%;2.44%;1.92%;2.19%;-2.44%;2.15%;1.43%;3.72%;-0.07%;2.67%;-0.44%;3.36%;2.27%;3.97%;6.87%;3.00%;0.81%;2.59%;2.43%;2.99%;2.40%;2.75%
2009;0.39%;2.77%;1.16%;1.56%;7.85%;3.78%;-6.87%;-0.49%;1.51%;2.39%;0.70%;3.45%;0.95%;1.96%;1.61%;1.94%;1.93%;2.21%;1.58%;-1.36%;0.38%;3.19%;3.13%;2.12%;2.10%;0.85%;3.30%;3.81%;2.12%;1.86%;-3.07%;4.95%;1.27%;0.98%;-4.76%;1.96%;1.77%;2.00%;2.09%;2.30%;2.00%;2.49%
2010;3.15%;3.87%;3.05%;5.52%;1.04%;3.28%;0.59%;-0.51%;1.17%;1.39%;-0.88%;0.76%;5.62%;2.41%;1.34%;0.03%;1.05%;1.79%;-0.07%;2.89%;1.20%;0.12%;0.08%;0.81%;1.07%;1.82%;1.76%;0.77%;4.48%;1.86%;0.41%;0.36%;0.75%;0.57%;1.01%;0.83%;1.25%;1.98%;1.18%;0.54%;0.93%;1.24%
2011;-1.67%;0.05%;-4.89%;0.37%;0.26%;1.73%;1.53%;3.89%;0.09%;-0.95%;4.71%;1.05%;0.93%;0.33%;0.09%;1.60%;-1.29%;0.61%;1.34%;-1.16%;1.04%;0.73%;-1.31%;0.96%;0.51%;1.36%;0.34%;1.24%;0.48%;0.62%;0.30%;-0.27%;-0.39%;1.44%;-1.35%;0.30%;1.03%;1.23%;0.41%;0.98%;0.49%;0.88%
2012;1.06%;-2.01%;0.99%;-0.15%;0.10%;1.59%;-0.78%;-0.46%;-0.53%;0.99%;-3.88%;-0.31%;-2.64%;0.30%;0.82%;0.23%;-2.38%;0.24%;-1.20%;-0.30%;2.31%;1.47%;-0.57%;1.86%;0.00%;0.85%;0.85%;-0.07%;-2.50%;0.47%;-4.14%;-1.40%;-0.39%;-0.92%;-3.16%;-0.77%;-0.02%;0.02%;0.44%;0.26%;-1.35%;0.23%
